hour,day,location,weather,road_condition,vehicle_type,accident,special_event,congestion
2,Tue,Highway,Foggy,Bad,Bike,0,1,0
9,Mon,Highway,Rainy,Good,Bus,0,0,0
3,Wed,Residential,Foggy,Bad,Bus,0,0,1
5,Fri,School-Zone,Foggy,Bad,Bus,1,0,0
5,Thu,Office-Area,Foggy,Bad,Bus,0,1,0
5,Fri,Office-Area,Foggy,Bad,Bike,1,0,1
19,Sat,Market,Foggy,Good,Truck,0,1,0
15,Tue,School-Zone,Rainy,Bad,Bus,0,0,0
14,Sat,Office-Area,Clear,Bad,Bus,1,1,1
19,Wed,Residential,Rainy,Bad,Truck,0,1,1
16,Sun,Market,Clear,Bad,Truck,1,1,1
8,Wed,Residential,Foggy,Good,Bus,0,0,0
8,Tue,Highway,Rainy,Good,Car,0,0,1
21,Mon,Office-Area,Clear,Bad,Bus,0,1,1
15,Sat,Residential,Rainy,Good,Truck,0,0,0
22,Mon,Highway,Clear,Bad,Bike,0,1,1
18,Thu,School-Zone,Foggy,Bad,Bus,1,1,1
7,Mon,Residential,Clear,Good,Bus,0,1,0
6,Sun,Highway,Rainy,Good,Bus,1,0,1
16,Thu,Residential,Rainy,Bad,Car,0,1,1
2,Sat,Office-Area,Foggy,Good,Car,0,0,1
5,Sat,Highway,Rainy,Bad,Truck,1,1,0
9,Wed,Residential,Clear,Good,Bus,0,1,1
4,Sat,Office-Area,Rainy,Good,Truck,1,1,0
7,Mon,School-Zone,Clear,Good,Bike,0,0,1
12,Tue,Office-Area,Foggy,Good,Car,0,0,1
17,Tue,Residential,Clear,Good,Truck,1,0,1
17,Thu,School-Zone,Rainy,Bad,Car,1,1,1
16,Wed,Residential,Clear,Bad,Bus,0,0,1
9,Fri,Office-Area,Clear,Bad,Bus,1,1,0
17,Sat,School-Zone,Foggy,Bad,Car,1,1,1
21,Mon,School-Zone,Clear,Good,Car,0,0,1
13,Thu,Market,Clear,Good,Truck,0,0,1
1,Sun,Office-Area,Clear,Good,Bike,0,0,0
15,Wed,School-Zone,Foggy,Good,Bike,0,0,0
4,Tue,School-Zone,Rainy,Bad,Bike,1,0,0
5,Sat,Residential,Foggy,Bad,Car,0,0,0
22,Mon,Residential,Clear,Good,Truck,0,0,1
9,Tue,School-Zone,Foggy,Good,Car,0,1,1
20,Tue,Market,Foggy,Bad,Truck,1,1,0
16,Fri,Residential,Foggy,Bad,Truck,0,0,1
17,Sun,Residential,Clear,Good,Bike,1,1,1
3,Fri,Residential,Clear,Bad,Truck,1,1,1
3,Sun,Office-Area,Clear,Good,Bus,1,0,1
12,Fri,Highway,Clear,Good,Car,1,1,0
15,Wed,Highway,Clear,Bad,Truck,0,0,0
2,Sat,Highway,Rainy,Good,Truck,0,1,1
18,Wed,Highway,Clear,Bad,Bike,0,0,1
8,Sun,Residential,Rainy,Good,Bus,1,0,1
3,Wed,Residential,Clear,Bad,Car,0,1,1
15,Wed,Residential,Clear,Bad,Bike,1,0,1
12,Tue,School-Zone,Clear,Good,Truck,1,0,1
5,Thu,School-Zone,Rainy,Bad,Car,0,1,0
5,Fri,Highway,Foggy,Good,Truck,0,0,1
15,Sun,Residential,Foggy,Bad,Car,1,1,0
1,Tue,Residential,Foggy,Bad,Car,1,1,0
13,Mon,Office-Area,Rainy,Good,Bus,1,1,1
4,Sat,Office-Area,Foggy,Good,Car,1,1,0
1,Sat,Market,Foggy,Bad,Truck,0,0,1
23,Mon,Highway,Foggy,Bad,Car,0,1,0
22,Thu,Market,Foggy,Bad,Car,0,1,0
7,Tue,Office-Area,Clear,Good,Bus,1,0,0
10,Wed,Residential,Clear,Bad,Bus,0,0,1
7,Fri,Residential,Rainy,Good,Bus,1,0,1
9,Tue,Office-Area,Rainy,Good,Truck,0,1,1
18,Fri,Highway,Rainy,Good,Truck,0,1,1
5,Thu,Market,Rainy,Bad,Car,1,1,0
12,Tue,Highway,Rainy,Bad,Car,0,0,0
21,Fri,Market,Foggy,Good,Truck,1,1,0
9,Fri,School-Zone,Clear,Bad,Car,0,1,1
14,Sat,School-Zone,Foggy,Bad,Truck,1,1,1
19,Thu,School-Zone,Rainy,Bad,Truck,0,1,0
23,Fri,School-Zone,Foggy,Bad,Bus,1,0,1
2,Thu,Residential,Clear,Good,Bike,0,0,0
20,Thu,Highway,Clear,Good,Bike,0,1,0
15,Sat,Residential,Foggy,Bad,Bus,1,1,0
9,Thu,Market,Clear,Good,Car,0,0,0
2,Sun,Market,Clear,Bad,Bike,1,1,0
4,Fri,Market,Rainy,Good,Bike,0,0,0
13,Wed,Office-Area,Clear,Bad,Bus,1,1,1
13,Tue,Market,Foggy,Bad,Car,0,1,0
1,Tue,School-Zone,Clear,Bad,Bike,1,1,1
15,Fri,Office-Area,Rainy,Good,Bike,1,1,1
16,Sat,Residential,Foggy,Good,Bike,1,1,0
2,Sun,Market,Clear,Bad,Bike,1,1,1
20,Thu,Market,Rainy,Good,Bike,0,1,1
14,Sat,School-Zone,Rainy,Good,Bus,1,0,0
11,Fri,School-Zone,Foggy,Good,Car,0,1,0
8,Thu,School-Zone,Foggy,Bad,Truck,1,0,0
20,Thu,Office-Area,Foggy,Bad,Bike,0,0,0
7,Thu,Office-Area,Clear,Bad,Car,0,0,0
21,Sat,Residential,Rainy,Good,Bus,0,1,0
15,Tue,Market,Clear,Bad,Truck,0,0,0
13,Thu,Market,Foggy,Good,Bike,1,1,1
1,Wed,School-Zone,Clear,Good,Bus,1,0,1
16,Fri,School-Zone,Rainy,Bad,Bike,1,1,0
23,Wed,Market,Rainy,Good,Car,1,0,1
10,Wed,Residential,Clear,Good,Bus,0,1,1
15,Thu,Highway,Clear,Good,Car,0,0,0
20,Sun,School-Zone,Rainy,Good,Bike,1,0,0
9,Mon,Residential,Foggy,Good,Bike,0,0,0
5,Sun,School-Zone,Foggy,Bad,Bus,1,1,1
10,Mon,School-Zone,Clear,Good,Truck,0,1,0
3,Sun,Market,Foggy,Bad,Bus,0,0,1
1,Wed,School-Zone,Clear,Bad,Truck,0,0,0
5,Tue,Residential,Foggy,Good,Car,0,0,0
12,Mon,School-Zone,Foggy,Bad,Bus,0,1,1
20,Sun,Residential,Foggy,Good,Car,1,1,1
20,Fri,Residential,Clear,Bad,Car,1,0,1
11,Wed,Residential,Clear,Good,Bike,1,1,0
16,Sun,Market,Foggy,Good,Car,0,0,0
5,Mon,Highway,Rainy,Good,Car,0,1,1
14,Fri,Market,Clear,Bad,Bike,1,0,0
22,Tue,Residential,Foggy,Bad,Car,0,0,0
11,Fri,Office-Area,Rainy,Good,Car,1,0,0
21,Fri,School-Zone,Clear,Bad,Bus,0,0,0
1,Mon,School-Zone,Foggy,Good,Bus,0,0,1
8,Tue,Office-Area,Foggy,Bad,Bus,0,0,0
13,Thu,Highway,Clear,Bad,Car,0,0,1
2,Wed,Market,Rainy,Good,Truck,1,0,1
9,Thu,Office-Area,Foggy,Good,Bus,0,0,1
12,Thu,Office-Area,Foggy,Bad,Car,1,0,1
6,Sun,Residential,Rainy,Bad,Car,0,1,1
4,Wed,Highway,Clear,Bad,Bike,1,1,1
16,Mon,Highway,Foggy,Bad,Bike,0,1,1
18,Sat,Office-Area,Foggy,Bad,Bike,0,1,0
16,Wed,Residential,Rainy,Bad,Bike,1,0,1
5,Thu,Highway,Rainy,Good,Truck,0,0,0
19,Sat,Market,Foggy,Good,Truck,0,0,0
16,Mon,School-Zone,Foggy,Bad,Truck,1,0,1
2,Fri,School-Zone,Clear,Good,Bike,1,1,0
7,Sun,Office-Area,Foggy,Good,Bike,0,0,1
4,Mon,Highway,Foggy,Bad,Car,0,0,1
15,Tue,Market,Clear,Bad,Truck,0,0,1
11,Tue,Highway,Foggy,Bad,Car,1,0,1
23,Thu,Residential,Clear,Bad,Car,0,1,1
12,Sat,Highway,Rainy,Bad,Truck,1,0,0
8,Mon,Office-Area,Clear,Bad,Car,1,0,1
2,Mon,Highway,Clear,Bad,Bike,0,1,1
9,Mon,Office-Area,Rainy,Good,Bus,1,0,0
1,Thu,Office-Area,Rainy,Good,Car,0,1,1
17,Wed,Market,Foggy,Good,Car,0,1,1
14,Tue,Residential,Rainy,Good,Bike,1,1,0
11,Tue,Market,Clear,Good,Car,0,1,0
1,Sat,Office-Area,Foggy,Bad,Car,0,0,1
18,Sat,Residential,Rainy,Good,Bike,0,0,1
17,Mon,School-Zone,Rainy,Bad,Truck,1,0,0
14,Thu,Residential,Foggy,Good,Bus,1,1,0
3,Mon,Office-Area,Foggy,Good,Truck,0,0,0
20,Sun,Office-Area,Foggy,Bad,Truck,0,1,1
1,Wed,Highway,Clear,Bad,Bike,0,0,1
1,Wed,Residential,Clear,Good,Bus,1,1,1
2,Wed,Residential,Rainy,Good,Bus,1,0,1
1,Fri,Residential,Foggy,Bad,Bike,1,0,1
4,Tue,Office-Area,Foggy,Bad,Truck,1,1,1
19,Tue,Office-Area,Rainy,Good,Truck,0,1,0
22,Sun,Office-Area,Clear,Bad,Bus,0,1,1
8,Sat,Highway,Clear,Good,Truck,0,1,0
12,Fri,Highway,Clear,Bad,Bus,0,0,0
10,Thu,Market,Clear,Bad,Bus,0,0,0
5,Sun,Office-Area,Foggy,Bad,Bike,1,1,0
19,Sun,Residential,Clear,Bad,Bike,1,1,0
9,Fri,Office-Area,Foggy,Good,Bike,0,0,1
14,Thu,Market,Rainy,Good,Car,0,0,1
0,Thu,Office-Area,Rainy,Good,Bus,0,1,1
7,Mon,Office-Area,Rainy,Bad,Car,1,0,1
10,Sat,Market,Foggy,Good,Bike,1,0,1
20,Mon,School-Zone,Foggy,Good,Truck,1,0,1
19,Mon,Residential,Clear,Good,Bus,1,1,1
2,Fri,Market,Rainy,Bad,Bike,0,1,1
16,Wed,Highway,Rainy,Bad,Bike,0,0,0
1,Thu,School-Zone,Rainy,Bad,Truck,1,1,0
22,Fri,Residential,Foggy,Good,Bus,1,1,0
8,Fri,Residential,Rainy,Good,Bus,0,0,0
17,Sun,Residential,Clear,Bad,Bike,1,1,0
18,Tue,Highway,Rainy,Bad,Bus,1,0,1
23,Fri,Market,Foggy,Bad,Bike,0,1,1
7,Fri,School-Zone,Rainy,Good,Truck,0,1,0
16,Sun,Residential,Clear,Bad,Bike,0,1,0
16,Thu,School-Zone,Rainy,Good,Bike,0,0,1
0,Sat,Office-Area,Rainy,Bad,Car,1,0,1
16,Fri,Office-Area,Clear,Good,Truck,0,0,1
17,Fri,School-Zone,Clear,Good,Car,1,1,1
19,Mon,School-Zone,Rainy,Bad,Bike,1,1,1
18,Sat,Highway,Rainy,Bad,Bus,1,0,1
7,Fri,Office-Area,Foggy,Bad,Bike,0,0,1
7,Mon,Highway,Clear,Good,Truck,0,1,0
12,Tue,Highway,Rainy,Bad,Bike,1,0,1
8,Tue,Highway,Foggy,Good,Bike,0,1,1
20,Fri,Office-Area,Clear,Good,Bus,0,1,0
12,Tue,Highway,Clear,Good,Bus,0,1,0
2,Tue,Market,Clear,Bad,Truck,0,0,1
6,Mon,Office-Area,Clear,Good,Bus,0,0,1
13,Sun,Residential,Rainy,Good,Bike,0,1,1
15,Sun,School-Zone,Foggy,Good,Bike,0,0,1
4,Mon,Highway,Foggy,Good,Truck,0,0,0
17,Sat,Market,Foggy,Bad,Bike,1,1,0
2,Mon,Residential,Rainy,Good,Bike,1,0,1
7,Tue,Highway,Rainy,Good,Bike,1,0,1
22,Fri,Highway,Clear,Good,Car,1,0,1
0,Wed,Office-Area,Rainy,Bad,Car,1,0,1
9,Mon,Residential,Rainy,Good,Bus,1,0,1
20,Sun,Office-Area,Clear,Good,Truck,1,1,1
10,Fri,Market,Clear,Good,Bus,0,1,0
5,Sun,Highway,Foggy,Bad,Bus,1,0,0
10,Mon,Market,Clear,Good,Bike,1,0,1
21,Sat,Office-Area,Foggy,Bad,Truck,0,0,0
1,Thu,Office-Area,Foggy,Bad,Truck,0,1,0
12,Fri,School-Zone,Clear,Bad,Truck,1,1,1
13,Tue,Residential,Foggy,Good,Bike,0,1,1
8,Sat,School-Zone,Foggy,Bad,Bike,1,0,1
10,Sat,Residential,Rainy,Good,Truck,1,0,1
6,Thu,Market,Foggy,Good,Bike,0,0,1
6,Sun,Office-Area,Foggy,Bad,Car,1,1,1
22,Sun,Market,Clear,Good,Car,0,0,1
11,Tue,Residential,Foggy,Bad,Bus,0,0,1
20,Thu,Office-Area,Foggy,Bad,Car,1,1,1
2,Tue,School-Zone,Rainy,Good,Car,1,1,1
18,Sun,Residential,Clear,Good,Bus,1,0,0
16,Sat,Highway,Clear,Bad,Bike,1,0,0
10,Mon,Market,Clear,Good,Car,1,0,0
9,Sun,Office-Area,Rainy,Bad,Car,1,1,0
8,Mon,Highway,Foggy,Good,Bike,1,0,0
17,Mon,Highway,Clear,Bad,Car,1,0,1
23,Sat,Residential,Foggy,Bad,Truck,0,1,0
21,Mon,Office-Area,Foggy,Bad,Bus,1,0,1
22,Wed,Market,Rainy,Good,Truck,0,0,1
5,Sun,School-Zone,Foggy,Good,Car,1,1,1
6,Wed,Residential,Clear,Good,Bus,0,0,1
6,Wed,Residential,Foggy,Good,Bike,1,1,1
10,Sun,Office-Area,Rainy,Bad,Bus,1,1,0
11,Sun,Office-Area,Rainy,Good,Car,1,0,1
19,Fri,School-Zone,Foggy,Good,Bike,1,1,1
22,Wed,School-Zone,Foggy,Bad,Bus,0,1,0
23,Thu,Residential,Foggy,Good,Car,0,1,0
22,Wed,Residential,Rainy,Bad,Bus,1,0,0
23,Thu,Market,Rainy,Good,Bike,1,1,1
23,Fri,Office-Area,Clear,Bad,Truck,1,0,1
3,Sat,Market,Foggy,Bad,Car,0,0,0
12,Sun,School-Zone,Rainy,Bad,Bike,1,0,1
19,Sat,Residential,Clear,Bad,Truck,1,1,0
15,Tue,Market,Clear,Bad,Bike,1,1,1
6,Fri,Residential,Rainy,Good,Bike,0,1,1
23,Mon,Office-Area,Clear,Bad,Car,0,0,0
21,Thu,Office-Area,Foggy,Bad,Car,0,1,1
19,Thu,Residential,Rainy,Bad,Bike,0,0,1
0,Mon,Residential,Clear,Bad,Bike,1,1,1
15,Tue,Market,Foggy,Bad,Bus,0,0,0
13,Tue,School-Zone,Clear,Bad,Truck,1,0,1
3,Tue,Residential,Rainy,Bad,Bus,1,0,1
9,Wed,Highway,Clear,Good,Car,0,0,0
11,Tue,Highway,Foggy,Bad,Car,1,0,0
5,Sun,Residential,Foggy,Good,Truck,1,1,1
0,Thu,Residential,Rainy,Bad,Car,0,1,1
0,Tue,Residential,Clear,Good,Car,0,0,1
1,Tue,School-Zone,Foggy,Good,Car,1,1,1
19,Thu,School-Zone,Clear,Good,Bike,0,0,0
10,Sat,Residential,Clear,Good,Car,1,1,1
14,Sat,Highway,Rainy,Bad,Car,1,0,0
17,Tue,School-Zone,Clear,Good,Truck,1,1,1
18,Fri,Highway,Clear,Bad,Car,1,0,1
9,Sat,Office-Area,Foggy,Good,Car,1,1,0
9,Fri,Highway,Clear,Bad,Bus,0,1,0
7,Sun,Residential,Rainy,Good,Car,1,1,0
23,Tue,School-Zone,Foggy,Good,Truck,0,1,1
0,Sun,Highway,Clear,Bad,Bike,0,1,1
7,Tue,Highway,Clear,Good,Bus,0,0,0
21,Thu,School-Zone,Rainy,Good,Car,1,1,1
3,Sat,School-Zone,Clear,Bad,Truck,0,1,1
8,Mon,Residential,Foggy,Bad,Bus,1,1,0
21,Sun,Office-Area,Rainy,Good,Bike,0,0,0
0,Sun,Market,Foggy,Good,Bus,1,1,0
4,Tue,Highway,Foggy,Bad,Bus,1,1,1
0,Tue,Market,Rainy,Good,Car,0,0,0
3,Sat,School-Zone,Rainy,Bad,Bus,0,1,0
15,Wed,School-Zone,Foggy,Good,Truck,0,1,1
14,Sun,School-Zone,Clear,Good,Truck,1,1,0
10,Mon,School-Zone,Clear,Bad,Car,0,0,0
6,Sat,Residential,Clear,Good,Truck,1,0,0
22,Wed,School-Zone,Clear,Good,Bus,1,0,1
17,Wed,Highway,Foggy,Bad,Car,0,0,0
5,Wed,Market,Clear,Good,Bus,0,0,0
15,Tue,Highway,Clear,Bad,Car,0,1,0
3,Wed,Highway,Rainy,Good,Truck,0,1,1
8,Wed,Office-Area,Clear,Bad,Bike,1,0,1
18,Sat,Market,Foggy,Bad,Bus,1,1,1
18,Fri,Office-Area,Foggy,Good,Bus,0,1,1
13,Sat,Market,Foggy,Bad,Bus,1,1,0
16,Sun,Office-Area,Rainy,Bad,Truck,0,1,0
4,Thu,Office-Area,Rainy,Bad,Truck,0,1,0
21,Thu,Residential,Rainy,Bad,Bus,1,0,1
20,Tue,Residential,Clear,Bad,Truck,1,0,0
17,Mon,School-Zone,Foggy,Bad,Car,0,0,0
11,Sun,Highway,Foggy,Bad,Car,0,0,1
12,Fri,Office-Area,Foggy,Bad,Truck,1,0,0
17,Fri,Market,Rainy,Bad,Truck,0,0,0
17,Sat,Residential,Clear,Good,Truck,1,0,1
19,Wed,Market,Clear,Bad,Bus,1,0,1
22,Sun,Office-Area,Foggy,Good,Car,1,1,0
18,Fri,School-Zone,Foggy,Good,Bus,1,0,1
23,Wed,Highway,Foggy,Good,Bike,1,0,1
23,Mon,Office-Area,Foggy,Good,Bike,1,0,1
4,Sun,School-Zone,Clear,Good,Bike,0,1,1
14,Mon,Residential,Clear,Bad,Truck,0,0,0
7,Sat,Office-Area,Rainy,Bad,Bus,1,0,0
13,Wed,Highway,Foggy,Good,Bus,0,1,1
10,Wed,Market,Foggy,Good,Truck,1,1,0
17,Fri,Office-Area,Foggy,Bad,Bike,1,0,0
12,Wed,Office-Area,Rainy,Good,Bike,1,0,0
13,Tue,Residential,Clear,Good,Bike,0,0,1
5,Thu,Office-Area,Rainy,Bad,Bike,0,1,0
18,Wed,Highway,Clear,Bad,Bus,1,1,0
9,Mon,Office-Area,Rainy,Bad,Bus,1,0,1
11,Sun,Market,Rainy,Bad,Truck,1,0,0
6,Tue,Office-Area,Clear,Good,Car,1,0,1
10,Wed,School-Zone,Clear,Bad,Bus,1,0,0
3,Sun,Residential,Foggy,Good,Bike,1,0,1
18,Wed,Residential,Foggy,Good,Bike,1,1,0
17,Tue,Market,Clear,Bad,Bike,1,0,1
15,Fri,Highway,Clear,Good,Truck,0,1,1
15,Sat,School-Zone,Foggy,Bad,Bike,1,1,1
22,Tue,Highway,Foggy,Bad,Bike,1,0,1
13,Sat,Highway,Rainy,Bad,Car,1,0,0
19,Tue,Highway,Foggy,Good,Car,1,0,0
7,Fri,Market,Rainy,Good,Bus,1,1,1
22,Wed,School-Zone,Clear,Bad,Truck,0,1,0
7,Thu,Highway,Foggy,Good,Car,1,0,1
11,Wed,Office-Area,Clear,Good,Car,1,1,1
13,Sat,Office-Area,Clear,Bad,Car,1,1,0
19,Wed,Office-Area,Clear,Bad,Car,0,0,0
4,Tue,Residential,Foggy,Bad,Bike,0,0,0
5,Sun,Highway,Rainy,Bad,Bus,1,0,0
13,Fri,Residential,Rainy,Good,Car,0,0,0
15,Sat,Market,Clear,Good,Bus,1,1,1
16,Sun,Market,Foggy,Good,Truck,0,1,0
13,Thu,Residential,Rainy,Bad,Bike,0,0,0
0,Mon,Highway,Clear,Bad,Truck,0,0,1
5,Thu,Highway,Clear,Good,Truck,0,0,1
5,Thu,Highway,Rainy,Good,Bike,1,1,0
19,Thu,Residential,Clear,Bad,Car,1,0,0
7,Mon,School-Zone,Foggy,Good,Bike,0,0,0
19,Sun,Residential,Clear,Good,Truck,1,1,1
9,Wed,Residential,Foggy,Bad,Truck,1,0,1
11,Wed,Office-Area,Rainy,Good,Car,0,1,1
9,Sat,School-Zone,Clear,Bad,Car,0,0,1
3,Mon,Office-Area,Foggy,Bad,Car,1,0,1
4,Sun,Residential,Foggy,Bad,Truck,1,1,0
6,Thu,Residential,Clear,Bad,Car,1,1,0
16,Sat,School-Zone,Clear,Bad,Truck,1,1,1
23,Sun,School-Zone,Foggy,Good,Car,1,0,1
9,Sat,Highway,Clear,Bad,Bike,0,1,1
23,Tue,Office-Area,Clear,Good,Truck,0,1,1
4,Sun,Office-Area,Foggy,Bad,Bike,1,1,1
22,Mon,Office-Area,Foggy,Good,Bike,1,1,1
22,Fri,Market,Rainy,Bad,Car,0,1,0
16,Wed,School-Zone,Clear,Good,Truck,1,0,0
18,Fri,Residential,Foggy,Bad,Bus,1,1,0
14,Sun,School-Zone,Rainy,Good,Bike,0,1,0
18,Sun,School-Zone,Foggy,Bad,Car,0,1,0
16,Wed,Office-Area,Clear,Good,Truck,1,0,1
6,Tue,Highway,Clear,Good,Bike,1,1,1
4,Sat,Office-Area,Foggy,Bad,Bus,0,1,1
8,Thu,Residential,Rainy,Bad,Bike,0,0,1
1,Tue,Market,Foggy,Bad,Bus,0,0,1
21,Sun,Office-Area,Foggy,Good,Truck,1,1,1
9,Thu,School-Zone,Foggy,Bad,Car,1,1,1
5,Tue,Highway,Foggy,Bad,Bus,1,0,1
13,Wed,Highway,Clear,Good,Car,1,0,0
18,Thu,Highway,Rainy,Bad,Car,1,1,0
14,Wed,Residential,Clear,Good,Bus,0,1,1
10,Mon,School-Zone,Rainy,Good,Car,0,1,1
13,Sat,Office-Area,Rainy,Good,Car,0,0,1
19,Fri,School-Zone,Foggy,Bad,Bus,0,1,1
1,Sat,Market,Clear,Bad,Truck,1,1,0
13,Thu,Highway,Foggy,Good,Truck,1,0,0
5,Sat,Residential,Foggy,Bad,Bus,1,0,0
1,Wed,School-Zone,Clear,Good,Car,1,0,1
17,Thu,Residential,Rainy,Good,Bike,1,1,1
18,Sun,Office-Area,Rainy,Bad,Truck,1,1,1
0,Sat,Highway,Foggy,Bad,Bus,1,1,0
4,Fri,Office-Area,Clear,Bad,Bus,1,0,0
12,Tue,Office-Area,Rainy,Bad,Bus,1,1,0
6,Fri,Residential,Foggy,Bad,Bus,0,1,0
17,Wed,Market,Foggy,Bad,Car,0,1,1
19,Sun,Market,Clear,Good,Bus,1,0,0
15,Fri,School-Zone,Clear,Bad,Truck,0,0,1
5,Thu,School-Zone,Clear,Good,Car,0,0,0
8,Wed,Office-Area,Foggy,Good,Truck,1,0,0
5,Mon,Residential,Rainy,Bad,Truck,1,0,0
12,Fri,Market,Clear,Bad,Truck,0,1,1
15,Fri,Highway,Clear,Bad,Car,1,0,0
2,Fri,Market,Rainy,Good,Car,0,1,0
2,Thu,School-Zone,Rainy,Bad,Bus,1,1,1
22,Thu,Market,Rainy,Good,Bike,0,0,0
7,Sun,School-Zone,Foggy,Good,Car,0,1,1
18,Mon,Residential,Clear,Bad,Bike,1,0,0
6,Sun,School-Zone,Clear,Good,Bike,1,0,0
15,Thu,School-Zone,Rainy,Bad,Bus,1,0,1
13,Wed,School-Zone,Clear,Bad,Bus,0,1,0
1,Fri,School-Zone,Rainy,Good,Truck,1,1,0
1,Tue,Residential,Rainy,Bad,Car,0,0,1
20,Sat,Office-Area,Clear,Bad,Bike,1,1,1
9,Tue,School-Zone,Foggy,Bad,Bus,0,1,1
19,Mon,School-Zone,Foggy,Bad,Truck,1,1,1
21,Wed,Residential,Clear,Good,Truck,1,0,1
14,Tue,Residential,Rainy,Bad,Bus,0,0,1
9,Mon,Residential,Foggy,Bad,Truck,0,1,1
15,Tue,School-Zone,Clear,Good,Truck,0,1,1
17,Sat,Office-Area,Rainy,Good,Bus,0,0,1
16,Thu,School-Zone,Rainy,Bad,Truck,0,1,0
4,Thu,Market,Rainy,Bad,Bus,1,1,1
23,Fri,Office-Area,Foggy,Bad,Bike,0,0,0
4,Sat,Office-Area,Foggy,Good,Bus,0,1,1
1,Mon,School-Zone,Clear,Good,Bus,0,0,0
16,Sun,Office-Area,Rainy,Bad,Bus,1,0,1
18,Thu,Residential,Rainy,Good,Bike,1,1,0
14,Tue,School-Zone,Clear,Good,Car,1,0,1
12,Sat,Office-Area,Clear,Good,Truck,1,1,1
9,Tue,Office-Area,Rainy,Bad,Bike,0,0,0
12,Tue,School-Zone,Rainy,Good,Bike,0,1,0
2,Fri,School-Zone,Clear,Bad,Bus,0,1,1
16,Sat,Highway,Clear,Good,Car,0,0,0
19,Sun,Residential,Rainy,Good,Car,1,1,0
9,Fri,Market,Clear,Good,Bike,0,1,0
15,Thu,Highway,Clear,Bad,Truck,1,1,0
17,Mon,Market,Clear,Bad,Bus,0,1,0
3,Tue,Office-Area,Clear,Good,Bike,0,1,1
4,Sat,School-Zone,Rainy,Bad,Bike,0,1,1
7,Sat,School-Zone,Foggy,Good,Truck,1,1,1
2,Tue,Market,Clear,Good,Truck,0,0,1
13,Fri,Market,Foggy,Good,Truck,0,0,0
23,Tue,Market,Clear,Bad,Bus,1,1,1
11,Mon,Highway,Foggy,Bad,Car,0,1,1
19,Sun,Market,Clear,Good,Bus,0,0,0
9,Fri,Office-Area,Clear,Good,Bus,0,0,0
4,Tue,School-Zone,Foggy,Bad,Car,0,1,0
5,Wed,Office-Area,Rainy,Bad,Bike,0,0,0
15,Mon,Office-Area,Clear,Good,Truck,0,1,1
8,Sun,School-Zone,Clear,Bad,Truck,0,1,0
10,Mon,Market,Rainy,Bad,Truck,0,1,0
12,Sat,Market,Foggy,Bad,Bike,0,0,1
7,Fri,School-Zone,Clear,Good,Bike,1,0,1
14,Wed,Residential,Rainy,Good,Car,0,0,1
